family,sentencing,DV,SA,murder,reconciliation,decree,age
wife,order protection,domestic violence,rape,murder,bulubulu,violence decree,under 13
husband,protection order,domestic,attempt rape,kill,reconciliation,crime decree,under 18
child,restraining order,domestic relationship,intimate,manslaughter,reconcile,restraining order,under age
siblings,final sentence,grievous harm,carnal,dead,ifoga,no molestation,old
family,penal code,injury,carnal knowledge,,apology,dvro,young person
father,judicial decree,malicious,penis,,forgiveness,no contact,
mother,final decree,mayhem,vagina,,no reconciliation,contact order,
stepfather,decree,battery,sex,,not reconcile,molestation order,
parent,,wounding,sexually,,not apologize,restrain order,
son,,physical ,penetration,,no apology,criminal procedure,
daughter,,harass,breast,,apologize,criminal process,
grandfather,,harassment,penetrate ,,,penal procedure,
grandmother,,aggression,violation,,,penal proceedings,
grandson,,attack,intercourse,,,criminal proceedings,
grandchild,,violent act,fornication,,,restraining order,
uncle,,beat,indecency,,,protection order,
aunt,,bash,incest,,,,
marriage,,hit,indecent assault,,,,
brother,,break,indecent exposure,,,,
sister,,knife,sexual violence,,,,
home,,threat,unnatural offense,,,,
family member,,relationship,abduct,,,,
step-father,,bodily harm,anal,,,,
baby,,anger,anus,,,,
step-daughter,,damage,defile,,,,
stepdaughter,,assault cause,grope,,,,
infant,,cause harm,intimidate,,,,
step father,,causing harm,subdue,,,,
step mother,,,prostitution,,,,
,,,woman,,,,
,,,slave,,,,
,,,genital,,,,
,,,touch,,,,
,,,body,,,,
,,,nude,,,,
,,,naked,,,,
,,,strip,,,,
,,,stalking,,,,
,,,girl,,,,
,,,boy,,,,
,,,virginity,,,,
,,,hymen,,,,
,,,without consent,,,,
,,,sexual,,,,
,,,sexual act,,,,
,,,raped,,,,
,,,sexual relationship,,,,
,,,sexual intercourse,,,,
,,,lack consent,,,,
,,,tell anybody,,,,
,,,finger,,,,
,,,consent,,,,
,,,defilement,,,,
